Category	Keyword	Web_Page_URL	Tweet_Website	Author_Name	Author_Web_Page_URL	Tweet_Timestamp	Tweet_Content	Tweet_Image_URL	Tweet_Video_URL	Tweet_AD	Tweet_Number_of_Reviews	Tweet_Number_of_Retweets	Retweets	Tweet_Number_of_Likes	Likes	Tweet_Number_of_Looks	looks	Impressions
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LaliceUpdates/status/1729819639780188351	LALICE UPDATES	https://twitter.com/LaliceUpdates	11/29/23	#LISA & Norman Reedus #블랙핑크리사 블랙핑크 리사#리사 #LALISA #MONEY	https://pbs.twimg.com/media/GAGNyG_bcAAwg8z?format=jpg&name=small;https://pbs.twimg.com/media/GAGNyG9bcAAfq6f?format=jpg&name=360x360;https://pbs.twimg.com/media/GAGNyG_aQAA8syh?format=jpg&name=360x360	https://twitter.com/LaliceUpdates/status/1729819639780188351	FALSE	9	2.8K	28000	5.5K	55000	84K	84000	83,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LaliceUpdates/status/1729888387761668316	LALICE UPDATES	https://twitter.com/LaliceUpdates	11/29/23	#LISA at the PSG vs. Newcastle United FC UEFA Champions League match in Paris with Norman Reedus. Nov. 28, 2023 BACKGRID#블랙핑크리사 블랙핑크 리사#리사 #LALISA #MONEY	https://pbs.twimg.com/media/GAHMURGboAAjE-V?format=jpg&name=360x360;https://pbs.twimg.com/media/GAHMURNaoAAJsFy?format=jpg&name=360x360;https://pbs.twimg.com/media/GAHMURJaMAAo9Dt?format=jpg&name=360x360;https://pbs.twimg.com/media/GAHMURKbMAAl9YB?format=jpg&name=360x360	https://twitter.com/LaliceUpdates/status/1729888387761668316	FALSE	13	2.6K	26000	5.6K	56000	89K	89000	82,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/olivegrty/status/1729806603937804635	โอยีฟ o⃣y⃣i⃣v⃣e⃣	https://twitter.com/olivegrty	11/29/23	โอ้โหหหหหหหห เซเล็บบริตี้สาวท่านนึงมากกกกกก สวยปารีสปาใจมาก#LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAGB7r6awAAcGw3?format=jpg&name=small	https://twitter.com/olivegrty/status/1729806603937804635	FALSE	15	3.2K	32000	4.4K	44000	240K	240000	76,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LaliceUpdates/status/1729908185346253183	LALICE UPDATES	https://twitter.com/LaliceUpdates	11/29/23	#LISA at the PSG vs. Newcastle United FC UEFA Champions League match in Paris Nov. 28, 2023 IMAGO IMAGES #블랙핑크리사 블랙핑크 리사#리사 #LALISA #MONEY	https://pbs.twimg.com/media/GAHeUuPa8AIV-x2?format=jpg&name=small;https://pbs.twimg.com/media/GAHeUuTa8AAfVOa?format=jpg&name=small	https://twitter.com/LaliceUpdates/status/1729908185346253183	FALSE	7	1.5K	15000	3.7K	37000	55K	55000	52,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LaliceUpdates/status/1730213982160712052	LALICE UPDATES	https://twitter.com/LaliceUpdates	11/30/23	Global Top K-Pop Songs of the Year on Spotify Wrapped 2023 via @SpotifyKR:#7 #MONEY by #LISA (after 2 years of being released) #블랙핑크리사 블랙핑크 리사#리사 #LALISA	https://pbs.twimg.com/media/GAL0cR0a4AAjmt-?format=jpg&name=360x360;https://pbs.twimg.com/media/GAL0cR0aMAAS9sP?format=jpg&name=360x360;https://abs-0.twimg.com/emoji/v2/svg/2764.svg	https://twitter.com/LaliceUpdates/status/1730213982160712052	FALSE	8	1.6K	16000	3.5K	35000	94K	94000	51,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LISAonSpotify/status/1729882820032844115	Lisa On Spotify | Fan Account	https://twitter.com/LISAonSpotify	11/29/23	#MONEY by #LISA is the only song by a K-pop artist in ‘Top Throwbacks 2023’	https://pbs.twimg.com/media/GAHHQPoaEAAuT1L?format=jpg&name=360x360;https://pbs.twimg.com/media/GAHHQPga8AAyLjU?format=jpg&name=360x360	https://twitter.com/LISAonSpotify/status/1729882820032844115	FALSE	7	1.5K	15000	3.5K	35000	78K	78000	50,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/SPOTVent_KPOPUP/status/1730058807022338095	SPOTV ent.	https://twitter.com/SPOTVent_KPOPUP	11/30/23	Say #LALISA love me! The @BLACKPINK star #LISA watched the Champions League Match this Tuesday in Paris, France as confirmed by @PSG_KR and here are the photos of her watching the game and with a shirt with her name on it! #BLACKPINK #블랙핑크 #리사 #MONEY #SHOONG	https://pbs.twimg.com/media/GAJnQx2bUAAsqWP?format=jpg&name=small;https://pbs.twimg.com/media/GAJnRZGaoAEBw1K?format=jpg&name=360x360;https://pbs.twimg.com/media/GAJnR7Ba4AEfRG5?format=jpg&name=360x360	https://twitter.com/SPOTVent_KPOPUP/status/1730058807022338095	FALSE	17	1.5K	15000	3.5K	35000	50K	50000	50,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LaliceUpdates/status/1729908403504607617	LALICE UPDATES	https://twitter.com/LaliceUpdates	11/29/23	#LISA at the PSG vs. Newcastle United FC UEFA Champions League match in Paris with Norman Reedus!!! Nov. 28, 2023 IMAGO IMAGES #블랙핑크리사 블랙핑크 리사#리사 #LALISA #MONEY	https://pbs.twimg.com/media/GAHehbsa8AExMqF?format=jpg&name=small;https://pbs.twimg.com/media/GAHehbzakAAeTn-?format=jpg&name=small	https://twitter.com/LaliceUpdates/status/1729908403504607617	FALSE	2	1K	1000	2.5K	25000	37K	37000	26,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/KhmerLy2/status/1729844065615646964	LILY PINK	https://twitter.com/KhmerLy2	11/29/23	ลูกพี่ก็เท่เกินหล่อมากกก#LISA #LALISA #ลิซ่า #리사 #MONEY #SHONG #SG	https://pbs.twimg.com/media/GAGj_FJbIAA9sVR?format=jpg&name=small	https://twitter.com/KhmerLy2/status/1729844065615646964	FALSE	8	998	998	1.9K	19000	39K	39000	19,998.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LaliceUpdates/status/1729857302902313031	LALICE UPDATES	https://twitter.com/LaliceUpdates	11/29/23	.@BLACKPINK #LISA’s #MONEY was the 2nd most streamed song on @SpotifyTH in 2023 despite being released in September 2021. https://open.spotify.com/track/45OX2jjEw1l7lOFJfDP9fv?si=yrUSpWdZT4azv0ln9FEG5w…#SpotifyWrapped #SpotifyWrapped2023	https://pbs.twimg.com/media/GAGwC3LbYAAM1YA?format=jpg&name=360x360;https://pbs.twimg.com/media/GAGwC3ObwAAeqRE?format=jpg&name=360x360	https://twitter.com/LaliceUpdates/status/1729857302902313031	FALSE		844	844	1.9K	19000	31K	31000	19,844.00
